New_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,left_company
0,0.58,0.74,4.0,215.0,3.0,0.0,0.0,sales,low,1
1,0.82,0.67,2.0,202.0,3.0,0.0,0.0,sales,low,1
2,0.45,0.69,5.0,193.0,3.0,0.0,0.0,sales,low,1
3,0.78,0.82,5.0,247.0,3.0,0.0,0.0,sales,low,1
4,0.49,0.6,3.0,214.0,2.0,0.0,0.0,sales,low,1
5,0.36,0.95,3.0,206.0,4.0,0.0,0.0,sales,low,1
6,0.54,0.37,2.0,176.0,2.0,0.0,0.0,sales,low,1
7,0.99,0.91,5.0,136.0,4.0,0.0,0.0,sales,low,1
8,0.5,0.75,6.0,127.0,3.0,0.0,0.0,sales,low,1
9,0.74,0.64,4.0,268.0,3.0,0.0,0.0,sales,low,1
10,0.56,0.58,4.0,258.0,3.0,0.0,0.0,sales,medium,1
11,0.34,0.39,2.0,136.0,3.0,0.0,0.0,sales,medium,1
12,0.48,0.94,5.0,255.0,6.0,0.0,0.0,accounting,medium,1
13,0.73,0.62,3.0,218.0,3.0,0.0,0.0,accounting,medium,1
14,0.59,0.87,3.0,268.0,4.0,0.0,0.0,accounting,medium,1
15,0.81,0.57,3.0,224.0,2.0,0.0,0.0,hr,medium,1
16,0.9,0.66,3.0,231.0,3.0,0.0,0.0,hr,medium,1
17,0.41,0.84,6.0,191.0,6.0,0.0,0.0,hr,medium,1
18,0.89,0.92,4.0,165.0,5.0,0.0,0.0,hr,medium,1
19,0.48,0.84,4.0,252.0,3.0,0.0,0.0,technical,medium,1
20,0.79,0.97,5.0,266.0,2.0,0.0,0.0,technical,medium,1
21,0.98,0.66,5.0,248.0,3.0,0.0,0.0,technical,medium,1
22,0.75,0.7,4.0,144.0,4.0,0.0,0.0,technical,high,1
23,1.0,0.41,4.0,174.0,3.0,0.0,0.0,technical,low,1
24,0.24,0.82,5.0,179.0,6.0,0.0,0.0,technical,medium,1
25,0.84,0.43,6.0,246.0,4.0,0.0,0.0,technical,medium,1
26,0.56,0.86,4.0,201.0,3.0,1.0,0.0,technical,medium,1
27,0.92,0.93,4.0,208.0,3.0,0.0,0.0,technical,medium,1
28,0.61,0.98,3.0,267.0,3.0,0.0,0.0,technical,low,1
29,0.84,0.77,4.0,262.0,4.0,0.0,0.0,technical,low,1
30,0.85,0.59,3.0,235.0,3.0,0.0,0.0,support,low,1
31,0.67,0.57,2.0,160.0,4.0,0.0,0.0,support,low,1
32,0.54,0.94,4.0,267.0,4.0,0.0,0.0,support,low,1
33,0.75,0.56,5.0,175.0,4.0,0.0,0.0,support,low,1
34,0.82,0.79,4.0,224.0,2.0,0.0,0.0,support,low,1
35,0.76,0.6,4.0,177.0,2.0,0.0,0.0,support,low,1
36,0.19,0.53,6.0,191.0,4.0,0.0,0.0,support,low,1
37,0.61,0.41,3.0,138.0,3.0,0.0,0.0,support,low,1
38,0.51,0.8,3.0,218.0,2.0,1.0,0.0,support,low,1
39,0.52,0.88,3.0,179.0,2.0,1.0,0.0,support,low,1
40,0.74,0.58,3.0,241.0,3.0,0.0,0.0,support,low,1
41,0.98,0.91,4.0,240.0,3.0,0.0,0.0,technical,low,1
42,0.71,0.92,3.0,202.0,4.0,0.0,0.0,technical,low,1
43,0.33,0.88,6.0,260.0,3.0,0.0,0.0,technical,low,1
44,0.98,0.97,3.0,196.0,3.0,0.0,0.0,management,low,1
45,0.52,0.59,2.0,176.0,3.0,1.0,0.0,IT,low,1
46,0.84,0.65,2.0,140.0,3.0,0.0,0.0,IT,low,1
47,0.87,0.5,3.0,242.0,2.0,0.0,0.0,IT,low,1
